SigUFPrincipal;SigTipoGeracao;DscOrigemCombustivel;DscFonteCombustivel;NomFonteCombustivel;MdaGarantiaFisicaKw;DscTipoOutorga
AM;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;5600.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;540.0;Registro
RO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Carvão Mineral;Calor de Processo - CM;0.0;Autorização
RS;UTE;Fóssil;Petróleo;Outros Energéticos de Petróleo;0.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2220.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3590.0;Concessão
MS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3690.0;Registro
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;217400.0;Concessão
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;500.0;Registro
MS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;11060.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2320.0;Autorização
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2880.0;Concessão
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;21400.0;Concessão
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;11500.0;Autorização
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;495400.0;Concessão
RJ;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;890.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;49200.0;Concessão
RJ;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;830.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
BA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
BA;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RJ;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
MG;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Registro
RJ;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;93900.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;567600.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
RJ;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4280.0;Concessão
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;5560.0;Autorização
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;80400.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;582000.0;Concessão
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;5510.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6680.0;Concessão
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SC;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7100.0;Concessão
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RJ;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;5760.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;103600.0;Concessão
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7660.0;Autorização
MT;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;54400.0;Concessão
